Block	MerSort	QuickSort	Swaps
522	0.007614	0.005768	131302057
523	0.007605	0.005825	131793644
524	0.007623	0.005853	132298539
525	0.007642	0.005912	132825351
526	0.007648	0.005894	133354322
527	0.007661	0.005965	133868095
528	0.007673	0.005933	134399037
529	0.007680	0.005936	134908684
530	0.007693	0.005895	135399514
531	0.007763	0.005821	135892357
532	0.007710	0.005951	136422102
533	0.007781	0.005939	136929911
534	0.007766	0.005981	137435407
535	0.007767	0.005980	137964820
536	0.007806	0.006038	138529802
537	0.008009	0.006111	139069191
538	0.007853	0.006077	139587086
539	0.007869	0.005951	140100221
540	0.007917	0.006035	140627405
541	0.007929	0.006075	141117760
542	0.007895	0.006138	141681186
543	0.007902	0.006166	142231808
544	0.007921	0.006141	142778253
545	0.007967	0.006188	143279508
546	0.008031	0.006150	143817151
547	0.008037	0.006152	144360910
548	0.008025	0.006140	144873161
549	0.008010	0.006189	145402878
550	0.008027	0.006232	145990703
551	0.008090	0.006244	146554490
552	0.008065	0.006174	147119750
553	0.008073	0.006271	147690395
554	0.008098	0.006224	148217632
555	0.008344	0.006432	148775340
556	0.008269	0.006282	149322071
557	0.008210	0.006277	149823249
558	0.008226	0.006428	150396470
559	0.008257	0.006321	150930760
560	0.008204	0.006341	151505990
561	0.008367	0.006488	152074413
562	0.008386	0.006462	152603605
563	0.008388	0.006434	153165764
564	0.008404	0.006428	153704761
565	0.008421	0.006474	154232393
566	0.008425	0.006660	154854683
567	0.008382	0.006592	155487490
568	0.008338	0.006378	156033169
569	0.008380	0.006511	156624386
570	0.008284	0.006379	157183712
571	0.008304	0.006499	157785608
572	0.008338	0.006430	158385502
573	0.008357	0.006489	158935373
574	0.008336	0.006530	159531779
575	0.008360	0.006565	160127274
576	0.008451	0.006542	160697755
577	0.008428	0.006525	161270398
578	0.008484	0.006419	161826096
579	0.008446	0.006490	162384217
580	0.008500	0.006777	163023630
581	0.008522	0.006798	163696961
582	0.008560	0.006642	164342296
583	0.008553	0.006573	164900342
584	0.008544	0.006656	165502334
585	0.008560	0.006674	166087390
586	0.008573	0.006714	166678190
587	0.008590	0.006730	167313725
588	0.008613	0.006780	167930707
589	0.008723	0.006633	168520095
590	0.008652	0.006653	169128282
591	0.008691	0.006599	169689501
592	0.008703	0.006557	170276393
593	0.008732	0.006786	170886565
594	0.008741	0.006663	171496239
595	0.008789	0.006730	172048198
596	0.008835	0.006860	172694913
597	0.008870	0.006885	173309659
598	0.008789	0.006687	173892873
599	0.008867	0.006754	174510102
600	0.008882	0.006838	175104142
601	0.008870	0.006778	175706371
602	0.008884	0.006880	176303550
603	0.008874	0.006700	176863689
604	0.008880	0.006895	177508516
605	0.008928	0.006874	178169954
606	0.009056	0.006926	178823302
607	0.008991	0.006750	179401644
608	0.008955	0.006894	180027467
609	0.009192	0.006913	180638000
610	0.009076	0.006937	181257679
611	0.009101	0.006952	181838355
612	0.009040	0.007013	182472227
613	0.009055	0.006963	183095527
614	0.009236	0.006958	183666641
615	0.009239	0.007149	184284066
616	0.009262	0.007136	184940191
617	0.009276	0.007153	185573112
618	0.009290	0.007073	186156647
619	0.009206	0.007254	186820757
620	0.009178	0.007031	187482103
621	0.009172	0.007048	188118964
622	0.009176	0.007149	188787329
623	0.009194	0.006956	189401714
624	0.009218	0.007095	190060691
625	0.009236	0.007040	190720019
626	0.009249	0.007149	191319686
627	0.009291	0.007155	191939717
628	0.009279	0.007085	192540602
629	0.009315	0.007263	193212051
630	0.009269	0.007105	193834316
631	0.009287	0.007039	194414657
632	0.009329	0.007277	195072529
633	0.009307	0.007203	195728181
634	0.009360	0.007227	196375903
635	0.009374	0.007273	197063220
636	0.009385	0.007352	197748367
637	0.009942	0.007390	198413585
638	0.009588	0.007359	199059546
639	0.009602	0.007440	199697410
640	0.009615	0.007259	200306575
641	0.009645	0.007493	200984529
642	0.009684	0.007533	201638794
643	0.009653	0.007525	202334161
644	0.009661	0.007466	202980929
645	0.009670	0.007509	203622059
646	0.009689	0.007599	204329085
647	0.009696	0.007478	204963827
648	0.009566	0.007390	205577197
649	0.009541	0.007401	206227686
650	0.009586	0.007257	206856203
651	0.009532	0.007477	207508255
652	0.009550	0.007368	208144101
653	0.009591	0.007332	208770183
654	0.009610	0.007356	209460378
655	0.009595	0.007497	210119557
656	0.009614	0.007388	210721113
657	0.009676	0.007398	211350267
658	0.009688	0.007526	212037719
659	0.009677	0.007497	212696003
660	0.009732	0.007389	213360207
661	0.009720	0.007544	214036247
662	0.009875	0.007639	214756924
663	0.009817	0.007589	215467331
664	0.009772	0.007509	216112659
665	0.009855	0.007715	216753812
666	0.009871	0.007695	217414500
667	0.009882	0.007678	218118575
668	0.009972	0.007654	218795321
669	0.009901	0.007906	219528483
670	0.010015	0.007564	220184593
671	0.010055	0.007799	220861387
672	0.010147	0.007803	221524123
673	0.010165	0.007814	222166049
674	0.010167	0.008059	222908730
675	0.010191	0.007864	223566900
676	0.010077	0.007684	224234293
677	0.010047	0.007751	224955969
678	0.010034	0.007728	225643860
679	0.010049	0.007740	226329933
680	0.010105	0.007997	227069741
