Block	MerSort	QuickSort	Swaps
516	0.007593	0.005717	122050686
517	0.007687	0.005734	122566355
518	0.007668	0.005690	123063400
519	0.007655	0.005760	123536663
520	0.007590	0.005925	124057418
521	0.007576	0.005935	124562380
522	0.007746	0.005848	125058570
523	0.007759	0.005934	125563402
524	0.007785	0.005917	126095241
525	0.007826	0.006000	126642821
526	0.007805	0.006089	127155157
527	0.007821	0.006087	127692720
528	0.007821	0.005986	128179810
529	0.007834	0.005906	128672027
530	0.007843	0.006007	129159448
531	0.007854	0.006093	129691799
532	0.007860	0.006082	130262066
533	0.007789	0.005899	130754048
534	0.007809	0.006039	131257591
535	0.007786	0.005943	131758093
536	0.007793	0.005908	132248914
537	0.007827	0.006079	132781510
538	0.007868	0.006022	133321526
539	0.007897	0.006131	133874863
540	0.007881	0.006075	134386526
541	0.007903	0.006238	134929209
542	0.008007	0.006053	135485954
543	0.007996	0.006204	136008826
544	0.008007	0.006324	136586146
545	0.008277	0.006226	137108257
546	0.008190	0.006172	137618514
547	0.008158	0.006225	138142155
548	0.008162	0.006281	138681436
549	0.008185	0.006210	139169362
550	0.008200	0.006327	139692261
551	0.008221	0.006235	140206320
552	0.008254	0.006264	140690390
553	0.008261	0.006389	141256188
554	0.008320	0.006366	141795506
555	0.008335	0.006390	142322356
556	0.008316	0.006258	142853533
557	0.008290	0.006283	143363854
558	0.008299	0.006611	143905479
559	0.008378	0.006365	144415116
560	0.008420	0.006355	144941274
561	0.008370	0.006416	145510875
562	0.008374	0.006367	146011893
563	0.008398	0.006428	146532335
564	0.008412	0.006330	147029480
565	0.008427	0.006404	147559876
566	0.008425	0.006520	148181708
567	0.008284	0.006293	148731003
568	0.008317	0.006350	149286302
569	0.008278	0.006501	149852588
570	0.008294	0.006312	150369972
571	0.008302	0.006420	150890126
572	0.008351	0.006324	151433846
573	0.008337	0.006430	151980368
574	0.008393	0.006563	152566341
575	0.008350	0.006475	153163021
576	0.008378	0.006625	153745900
577	0.008426	0.006435	154295212
578	0.008416	0.006469	154837231
579	0.008442	0.006629	155449979
580	0.008514	0.006658	156084679
581	0.008472	0.006625	156674306
582	0.008530	0.006554	157239058
583	0.008552	0.006544	157800725
584	0.008629	0.006606	158430026
585	0.008722	0.006613	159001736
586	0.008578	0.006576	159546324
587	0.008601	0.006701	160142159
588	0.008740	0.006818	160731263
589	0.008827	0.006726	161291537
590	0.008833	0.006762	161859388
591	0.008852	0.006773	162491839
592	0.008875	0.006784	163041462
593	0.008910	0.006643	163603692
594	0.008710	0.006607	164157975
595	0.008846	0.006917	164822772
596	0.008829	0.006784	165383621
597	0.008861	0.006754	165978702
598	0.008875	0.006809	166551798
599	0.008992	0.006841	167141666
600	0.009008	0.006849	167706827
601	0.009024	0.006999	168332670
602	0.009038	0.006829	168907933
603	0.009052	0.006890	169484008
604	0.008905	0.006730	170050496
605	0.008971	0.006952	170611399
606	0.008908	0.006755	171185166
607	0.008929	0.007076	171815530
608	0.008939	0.006934	172440337
609	0.008974	0.006871	173015738
610	0.008993	0.006901	173613818
611	0.008973	0.006908	174215247
612	0.008978	0.006868	174827133
613	0.008999	0.006935	175392112
614	0.009217	0.006907	175956058
615	0.009159	0.007058	176595733
616	0.009051	0.006957	177214107
617	0.009068	0.006974	177781898
618	0.009085	0.007177	178443999
619	0.009093	0.007002	179067791
620	0.009115	0.006914	179629547
621	0.009155	0.007026	180235832
622	0.009188	0.007227	180922417
623	0.009196	0.007185	181539622
624	0.009177	0.007000	182114363
625	0.009263	0.007041	182750694
626	0.009239	0.006996	183336680
627	0.009227	0.007191	184019004
628	0.009232	0.007152	184631238
629	0.009241	0.007079	185227053
630	0.009270	0.007204	185858166
631	0.009282	0.006996	186440161
632	0.009295	0.007146	187080168
633	0.009338	0.007068	187667520
634	0.009369	0.007033	188241636
635	0.009415	0.007216	188952501
636	0.009390	0.007200	189599832
637	0.009484	0.007187	190183713
638	0.009389	0.007218	190786390
639	0.009391	0.007136	191405074
640	0.009406	0.007119	191983530
641	0.009489	0.007300	192571895
642	0.009539	0.007270	193263234
643	0.009598	0.007408	193901251
644	0.009659	0.007405	194581932
645	0.009678	0.007480	195239047
646	0.009678	0.007355	195839273
647	0.009753	0.007635	196513523
648	0.009602	0.007215	197115552
649	0.009517	0.007217	197720753
650	0.009507	0.007385	198327513
651	0.009559	0.007559	199026322
652	0.009579	0.007409	199618045
653	0.009576	0.007293	200229328
654	0.009612	0.007372	200832374
655	0.009576	0.007356	201438914
656	0.009680	0.007386	202061977
657	0.009627	0.007505	202728523
658	0.009665	0.007402	203351025
659	0.009685	0.007384	203947337
660	0.009715	0.007494	204579942
661	0.009694	0.007474	205209910
662	0.009784	0.007459	205846744
663	0.009763	0.007549	206480951
664	0.009793	0.007596	207147968
665	0.009839	0.007485	207834186
666	0.009828	0.007571	208462980
667	0.009884	0.007530	209126776
668	0.009900	0.007538	209759571
669	0.009942	0.007593	210421366
670	0.009936	0.007597	211095267
671	0.009921	0.007705	211792038
672	0.010033	0.007720	212490773
673	0.009967	0.007787	213216720
674	0.009968	0.007725	213907239
675	0.009965	0.007695	214599662
676	0.010028	0.007587	215223175
677	0.010068	0.007614	215870682
678	0.010023	0.007720	216549639
679	0.010068	0.007708	217247090
680	0.010063	0.007881	217971067
681	0.010146	0.007674	218679783
682	0.010264	0.007838	219358921
683	0.010112	0.007741	220025067
684	0.010199	0.007766	220726753
685	0.010195	0.007732	221390698
686	0.010202	0.007800	222038414
687	0.010183	0.007808	222696566
688	0.010241	0.008060	223389326
689	0.010359	0.008009	224068103
690	0.010312	0.007996	224812006
691	0.010348	0.007790	225488834
692	0.010306	0.007757	226105287
693	0.010346	0.007901	226730977
694	0.010319	0.007863	227416552
695	0.010314	0.007854	228046199
696	0.010359	0.007904	228821291
697	0.010371	0.008015	229540954
698	0.010417	0.007975	230190026
699	0.010432	0.007952	230868098
700	0.010510	0.007865	231513522
701	0.011108	0.008240	232208748
702	0.010510	0.007941	232907029
703	0.010700	0.008177	233575876
704	0.010722	0.008122	234264641
705	0.010732	0.008289	235015981
706	0.010753	0.008174	235722146
707	0.010653	0.007971	236384352
708	0.010539	0.008144	237112448
